rule,severity,Year,Line_Key,Intitule,detail
major_virement,medium,2022.0,1212006000-302-00-20-11,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2024.0,1212006000-302-00-20-12,Taxes postales et frais d'affranchissement,net virement = +600% of initial credits
major_virement,medium,2025.0,1212006000-302-00-20-12,Taxes postales et frais d'affranchissement,net virement = +150% of initial credits
major_virement,medium,2024.0,1212006000-302-00-20-31,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +97% of initial credits
major_virement,medium,2025.0,1212006000-302-00-20-31,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +105% of initial credits
major_virement,medium,2021.0,1212006000-303-00-10-11,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2022.0,1212006000-303-00-10-11,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2021.0,1212006000-303-00-10-12,Redevances d'eau,net virement = +400% of initial credits
major_virement,medium,2022.0,1212006000-303-00-10-12,Redevances d'eau,net virement = +180% of initial credits
major_virement,medium,2024.0,1212006000-303-00-10-12,Redevances d'eau,net virement = +200% of initial credits
major_virement,medium,2021.0,1212006000-303-00-10-13,Redevances d'électricité,net virement = +500% of initial credits
major_virement,medium,2022.0,1212006000-303-00-10-13,Redevances d'électricité,net virement = +90% of initial credits
major_virement,medium,2023.0,1212006000-303-00-10-13,Redevances d'électricité,net virement = +500% of initial credits
major_virement,medium,2024.0,1212006000-303-00-10-13,Redevances d'électricité,net virement = +400% of initial credits
major_virement,medium,2025.0,1212006000-303-00-10-13,Redevances d'électricité,net virement = +85% of initial credits
major_virement,medium,2024.0,1212006000-303-00-10-31,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +97% of initial credits
major_virement,medium,2025.0,1212006000-303-00-10-31,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +105% of initial credits
major_virement,medium,2021.0,1212006000-303-00-20-11,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2022.0,1212006000-303-00-20-11,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2021.0,1212006000-303-00-20-12,Redevances d'eau,net virement = +400% of initial credits
major_virement,medium,2022.0,1212006000-303-00-20-12,Redevances d'eau,net virement = +180% of initial credits
major_virement,medium,2024.0,1212006000-303-00-20-12,Redevances d'eau,net virement = +200% of initial credits
major_virement,medium,2021.0,1212006000-303-00-20-13,Redevances d'électricité,net virement = +500% of initial credits
major_virement,medium,2022.0,1212006000-303-00-20-13,Redevances d'électricité,net virement = +90% of initial credits
major_virement,medium,2023.0,1212006000-303-00-20-13,Redevances d'électricité,net virement = +500% of initial credits
major_virement,medium,2024.0,1212006000-303-00-20-13,Redevances d'électricité,net virement = +400% of initial credits
major_virement,medium,2025.0,1212006000-303-00-20-13,Redevances d'électricité,net virement = +85% of initial credits
major_virement,medium,2024.0,1212006000-303-00-20-31,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +97% of initial credits
major_virement,medium,2025.0,1212006000-303-00-20-31,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +105% of initial credits
major_virement,medium,2021.0,1222006000-300-00-11-20,"Etudes liées à la construction, restauration, aménagement et extension des bâtiments administratifs",net virement = -77% of initial credits
major_virement,medium,2022.0,1222006000-300-00-11-20,"Etudes liées à la construction, restauration, aménagement et extension des bâtiments administratifs",net virement = -117% of initial credits
major_virement,medium,2021.0,1222006000-300-00-11-40,Travaux d'aménagement et d'installation,net virement = -66% of initial credits
major_virement,medium,2023.0,1222006000-300-00-11-40,Travaux d'aménagement et d'installation,net virement = -95% of initial credits
major_virement,medium,2024.0,1222006000-300-00-11-40,Travaux d'aménagement et d'installation,net virement = -95% of initial credits
major_virement,medium,2023.0,1222006000-300-00-11-50,Achat de matériel et mobilier de bureau,net virement = +66% of initial credits
major_virement,medium,2024.0,1222006000-300-00-11-50,Achat de matériel et mobilier de bureau,net virement = +151% of initial credits
major_virement,medium,2023.0,1222006000-300-00-11-81,Achat de matériel informatique et de logiciels,net virement = -58% of initial credits
major_virement,medium,2021.0,1222006000-300-00-15-20,"Etudes liées à la construction, restauration, aménagement et extension des bâtiments administratifs",net virement = -77% of initial credits
major_virement,medium,2022.0,1222006000-300-00-15-20,"Etudes liées à la construction, restauration, aménagement et extension des bâtiments administratifs",net virement = -117% of initial credits
major_virement,medium,2021.0,1222006000-300-02-11-20,"Etudes liées à la construction, restauration, aménagement et extension des bâtiments administratifs",net virement = -77% of initial credits
major_virement,medium,2022.0,1222006000-300-02-11-20,"Etudes liées à la construction, restauration, aménagement et extension des bâtiments administratifs",net virement = -117% of initial credits
major_virement,medium,2021.0,1222006000-300-02-11-40,Travaux d'aménagement et d'installation,net virement = -66% of initial credits
major_virement,medium,2023.0,1222006000-300-02-11-40,Travaux d'aménagement et d'installation,net virement = -95% of initial credits
major_virement,medium,2024.0,1222006000-300-02-11-40,Travaux d'aménagement et d'installation,net virement = -95% of initial credits
major_virement,medium,2024.0,1222006000-300-03-11-30,Travaux de construction ou d'extension de bâtiments administratifs,net virement = -100% of initial credits
major_virement,medium,2025.0,1222006000-300-03-11-30,Travaux de construction ou d'extension de bâtiments administratifs,net virement = -77% of initial credits
major_virement,medium,2024.0,1222006000-300-04-11-30,Travaux de construction ou d'extension de bâtiments administratifs,net virement = -100% of initial credits
major_virement,medium,2025.0,1222006000-300-04-11-30,Travaux de construction ou d'extension de bâtiments administratifs,net virement = -77% of initial credits
major_virement,medium,2021.0,1222006000-300-04-11-40,Travaux d'aménagement et d'installation,net virement = -66% of initial credits
major_virement,medium,2023.0,1222006000-300-04-11-40,Travaux d'aménagement et d'installation,net virement = -95% of initial credits
major_virement,medium,2024.0,1222006000-300-04-11-40,Travaux d'aménagement et d'installation,net virement = -95% of initial credits
major_virement,medium,2021.0,1222006000-300-06-11-40,Travaux d'aménagement et d'installation,net virement = -66% of initial credits
major_virement,medium,2023.0,1222006000-300-06-11-40,Travaux d'aménagement et d'installation,net virement = -95% of initial credits
major_virement,medium,2024.0,1222006000-300-06-11-40,Travaux d'aménagement et d'installation,net virement = -95% of initial credits
major_virement,medium,2024.0,1222006000-300-07-11-30,Travaux de construction ou d'extension de bâtiments administratifs,net virement = -100% of initial credits
major_virement,medium,2025.0,1222006000-300-07-11-30,Travaux de construction ou d'extension de bâtiments administratifs,net virement = -77% of initial credits
