Year,Line_Key,Chap,Prog,Reg,Proj,Lb,Depth,Level,Intitule,Credits_Ouverts_Vises,Total_Engage_Vises,Credits_Ouverts,Virements_Plus,Virements_Moins,Total_Credits,Total_Engage
2026,1212006000-300-00-10,,,,10.0,,4,Projet,Infrastructure,89574000,42807453.31,89574000.0,27464000.0,29552000.0,87486000.0,42807453.31
2021,1212006000-300-00-10-11,,,,,11.0,5,Ligne,Impôts et taxes,3850000,325836.0,3850000.0,23000.0,3546940.0,326060.0,325836.0
2022,1212006000-300-00-10-11,,,,,11.0,5,Ligne,Impôts et taxes,500000,1109747.5,500000.0,609862.0,0.0,1109862.0,1109747.5
2023,1212006000-300-00-10-11,,,,,11.0,5,Ligne,Impôts et taxes,500000,420373.8,500000.0,282000.0,361600.0,420400.0,420373.8
2024,1212006000-300-00-10-11,,,,,11.0,5,Ligne,Impôts et taxes,500000,875710.84,500000.0,376000.0,0.0,876000.0,875710.84
2025,1212006000-300-00-10-11,,,,,11.0,5,Ligne,Impôts et taxes,500000,139860.0,500000.0,0.0,360000.0,140000.0,139860.0
2026,1212006000-300-00-10-11,,,,,11.0,5,Ligne,Impôts et taxes,500000,55088.0,500000.0,0.0,0.0,500000.0,55088.0
2021,1212006000-300-00-10-12,,,,,12.0,5,Ligne,Locations de bâtiments administratifs et charges connexes,8200000,6740343.34,8200000.0,16000.0,1012552.0,7203448.0,6740343.34
2022,1212006000-300-00-10-12,,,,,12.0,5,Ligne,Locations de bâtiments administratifs et charges connexes,7000000,5359796.57,7000000.0,61200.0,1278000.0,5783200.0,5359796.57
2023,1212006000-300-00-10-12,,,,,12.0,5,Ligne,Locations de bâtiments administratifs et charges connexes,7000000,4767964.36,7000000.0,41120.0,2250716.0,4790404.0,4767964.36
2024,1212006000-300-00-10-12,,,,,12.0,5,Ligne,Locations de bâtiments administratifs et charges connexes,7000000,2606330.14,7000000.0,0.0,4326000.0,2674000.0,2606330.14
2025,1212006000-300-00-10-12,,,,,12.0,5,Ligne,Locations de bâtiments administratifs et charges connexes,5000000,4535310.26,5000000.0,0.0,419000.0,4581000.0,4535310.26
2026,1212006000-300-00-10-12,,,,,12.0,5,Ligne,Locations de bâtiments administratifs et charges connexes,8000000,9276516.24,8000000.0,1300000.0,0.0,9300000.0,9276516.24
2021,1212006000-300-00-10-13,,,,,13.0,5,Ligne,Entretien et réparation des bâtiments administratifs,0,6299710.28,0.0,6532846.0,97000.0,6435846.0,6299710.28
2022,1212006000-300-00-10-13,,,,,13.0,5,Ligne,Entretien et réparation des bâtiments administratifs,13100000,2109159.53,13100000.0,0.0,10812585.0,2287415.0,2109159.53
2023,1212006000-300-00-10-13,,,,,13.0,5,Ligne,Entretien et réparation des bâtiments administratifs,20000000,9788757.6,20000000.0,172000.0,10374122.0,9797878.0,9788757.6
2024,1212006000-300-00-10-13,,,,,13.0,5,Ligne,Entretien et réparation des bâtiments administratifs,20000000,839488.52,20000000.0,0.0,18861860.0,1138140.0,839488.52
2025,1212006000-300-00-10-13,,,,,13.0,5,Ligne,Entretien et réparation des bâtiments administratifs,22000000,11599066.74,22000000.0,0.0,10270000.0,11730000.0,11599066.74
2026,1212006000-300-00-10-13,,,,,13.0,5,Ligne,Entretien et réparation des bâtiments administratifs,19000000,908000.1,19000000.0,0.0,1768000.0,17232000.0,908000.1
2021,1212006000-300-00-10-14,,,,,14.0,5,Ligne,Achat de fournitures et accessoires électriques,2800000,599077.06,2800000.0,131412.0,2331846.0,599566.0,599077.06
2022,1212006000-300-00-10-14,,,,,14.0,5,Ligne,Achat de fournitures et accessoires électriques,500000,555391.03,500000.0,245436.0,189060.0,556376.0,555391.03
2023,1212006000-300-00-10-14,,,,,14.0,5,Ligne,Achat de fournitures et accessoires électriques,500000,196564.1,500000.0,7000.0,303670.0,203330.0,196564.1
2024,1212006000-300-00-10-14,,,,,14.0,5,Ligne,Achat de fournitures et accessoires électriques,500000,406663.2,500000.0,0.0,86000.0,414000.0,406663.2
2025,1212006000-300-00-10-14,,,,,14.0,5,Ligne,Achat de fournitures et accessoires électriques,200000,408890.4,200000.0,220000.0,10000.0,410000.0,408890.4
2026,1212006000-300-00-10-14,,,,,14.0,5,Ligne,Achat de fournitures et accessoires électriques,500000,0.0,500000.0,0.0,0.0,500000.0,0.0
2021,1212006000-300-00-10-15,,,,,15.0,5,Ligne,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",24775000,6752106.1,24775000.0,117000.0,18004511.0,6887489.0,6752106.1
2022,1212006000-300-00-10-15,,,,,15.0,5,Ligne,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",38074000,5367817.58,38074000.0,0.0,32147680.0,5926320.0,5367817.58
2023,1212006000-300-00-10-15,,,,,15.0,5,Ligne,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",45424000,6635613.42,45424000.0,525796.0,38604433.0,7345363.0,6635613.42
2024,1212006000-300-00-10-15,,,,,15.0,5,Ligne,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",37024000,6772698.89,37024000.0,0.0,29823000.0,7201000.0,6772698.89
